,leaves,levels,rank,splits,taxa
0,2,3,O,1,STRUTHIONIFORMES
1,5,4,O,1,STRUTHIONIFORMES
2,2,3,O,1,RHEIFORMES
3,8,4,O,1,RHEIFORMES
4,5,3,O,1,APTERYGIFORMES
5,6,4,O,1,APTERYGIFORMES
6,4,3,O,1,CASUARIIFORMES
7,8,4,O,1,CASUARIIFORMES
8,46,3,O,1,TINAMIFORMES
9,148,4,O,1,TINAMIFORMES
10,177,3,O,3,ANSERIFORMES
11,248,4,O,3,ANSERIFORMES
12,300,3,O,5,GALLIFORMES
13,820,4,O,5,GALLIFORMES
14,5,3,O,1,GAVIIFORMES
15,6,4,O,1,GAVIIFORMES
16,18,3,O,1,SPHENISCIFORMES
17,25,4,O,1,SPHENISCIFORMES
18,147,3,O,4,PROCELLARIIFORMES
19,193,4,O,4,PROCELLARIIFORMES
20,23,3,O,1,PODICIPEDIFORMES
21,54,4,O,1,PODICIPEDIFORMES
22,6,3,O,1,PHOENICOPTERIFORMES
23,6,4,O,1,PHOENICOPTERIFORMES
24,3,3,O,1,PHAETHONTIFORMES
25,13,4,O,1,PHAETHONTIFORMES
26,19,3,O,1,CICONIIFORMES
27,24,4,O,1,CICONIIFORMES
28,118,3,O,5,PELECANIFORMES
29,213,4,O,5,PELECANIFORMES
30,61,3,O,4,SULIFORMES
31,98,4,O,4,SULIFORMES
32,266,3,O,4,ACCIPITRIFORMES
33,558,4,O,4,ACCIPITRIFORMES
34,26,3,O,1,OTIDIFORMES
35,44,4,O,1,OTIDIFORMES
36,3,3,O,1,MESITORNITHIFORMES
37,3,4,O,1,MESITORNITHIFORMES
38,2,3,O,1,CARIAMIFORMES
39,2,4,O,1,CARIAMIFORMES
40,2,3,O,2,EURYPYGIFORMES
41,4,4,O,2,EURYPYGIFORMES
42,189,3,O,6,GRUIFORMES
43,362,4,O,6,GRUIFORMES
44,383,3,O,19,CHARADRIIFORMES
45,680,4,O,19,CHARADRIIFORMES
46,16,3,O,1,PTEROCLIFORMES
47,36,4,O,1,PTEROCLIFORMES
48,344,3,O,1,COLUMBIFORMES
49,764,4,O,1,COLUMBIFORMES
50,1,3,O,1,OPISTHOCOMIFORMES
51,1,4,O,1,OPISTHOCOMIFORMES
52,23,3,O,1,MUSOPHAGIFORMES
53,38,4,O,1,MUSOPHAGIFORMES
54,149,3,O,1,CUCULIFORMES
55,291,4,O,1,CUCULIFORMES
56,246,3,O,2,STRIGIFORMES
57,627,4,O,2,STRIGIFORMES
58,122,3,O,4,CAPRIMULGIFORMES
59,264,4,O,4,CAPRIMULGIFORMES
60,483,3,O,4,APODIFORMES
61,1013,4,O,4,APODIFORMES
62,6,3,O,1,COLIIFORMES
63,33,4,O,1,COLIIFORMES
64,43,3,O,1,TROGONIFORMES
65,109,4,O,1,TROGONIFORMES
66,1,3,O,1,LEPTOSOMIFORMES
67,3,4,O,1,LEPTOSOMIFORMES
68,177,3,O,6,CORACIIFORMES
69,453,4,O,6,CORACIIFORMES
70,74,3,O,4,BUCEROTIFORMES
71,114,4,O,4,BUCEROTIFORMES
72,445,3,O,9,PICIFORMES
73,1143,4,O,9,PICIFORMES
74,67,3,O,1,FALCONIFORMES
75,153,4,O,1,FALCONIFORMES
76,398,3,O,4,PSITTACIFORMES
77,769,4,O,4,PSITTACIFORMES
78,6494,3,O,138,PASSERIFORMES
79,16625,4,O,138,PASSERIFORMES
80,2,2,F,1,Struthionidae
81,5,3,F,1,Struthionidae
82,2,2,F,1,Rheidae
83,8,3,F,1,Rheidae
84,5,2,F,1,Apterygidae
85,6,3,F,1,Apterygidae
86,4,2,F,2,Casuariidae
87,8,3,F,2,Casuariidae
88,46,2,F,9,Tinamidae
89,148,3,F,9,Tinamidae
90,3,2,F,2,Anhimidae
91,3,3,F,2,Anhimidae
92,1,2,F,1,Anseranatidae
93,1,3,F,1,Anseranatidae
94,173,2,F,53,Anatidae
95,244,3,F,53,Anatidae
96,21,2,F,7,Megapodiidae
97,40,3,F,7,Megapodiidae
98,55,2,F,11,Cracidae
99,90,3,F,11,Cracidae
100,6,2,F,4,Numididae
101,19,3,F,4,Numididae
102,34,2,F,10,Odontophoridae
103,128,3,F,10,Odontophoridae
104,184,2,F,52,Phasianidae
105,543,3,F,52,Phasianidae
106,5,2,F,1,Gaviidae
107,6,3,F,1,Gaviidae
108,18,2,F,6,Spheniscidae
109,25,3,F,6,Spheniscidae
110,9,2,F,5,Oceanitidae
111,21,3,F,5,Oceanitidae
112,21,2,F,4,Diomedeidae
113,24,3,F,4,Diomedeidae
114,18,2,F,2,Hydrobatidae
115,22,3,F,2,Hydrobatidae
116,99,2,F,16,Procellariidae
117,126,3,F,16,Procellariidae
118,23,2,F,6,Podicipedidae
119,54,3,F,6,Podicipedidae
120,6,2,F,3,Phoenicopteridae
121,6,3,F,3,Phoenicopteridae
122,3,2,F,1,Phaethontidae
123,13,3,F,1,Phaethontidae
124,19,2,F,6,Ciconiidae
125,24,3,F,6,Ciconiidae
126,36,2,F,13,Threskiornithidae
127,50,3,F,13,Threskiornithidae
128,72,2,F,19,Ardeidae
129,148,3,F,19,Ardeidae
130,1,2,F,1,Scopidae
131,2,3,F,1,Scopidae
132,1,2,F,1,Balaenicipitidae
133,1,3,F,1,Balaenicipitidae
134,8,2,F,1,Pelecanidae
135,12,3,F,1,Pelecanidae
136,5,2,F,1,Fregatidae
137,11,3,F,1,Fregatidae
138,10,2,F,3,Sulidae
139,19,3,F,3,Sulidae
140,42,2,F,3,Phalacrocoracidae
141,60,3,F,3,Phalacrocoracidae
142,4,2,F,1,Anhingidae
143,8,3,F,1,Anhingidae
144,7,2,F,5,Cathartidae
145,13,3,F,5,Cathartidae
146,1,2,F,1,Sagittariidae
147,1,3,F,1,Sagittariidae
148,2,2,F,1,Pandionidae
149,4,3,F,1,Pandionidae
150,256,2,F,68,Accipitridae
151,540,3,F,68,Accipitridae
152,26,2,F,11,Otididae
153,44,3,F,11,Otididae
154,3,2,F,2,Mesitornithidae
155,3,3,F,2,Mesitornithidae
156,2,2,F,2,Cariamidae
157,2,3,F,2,Cariamidae
158,1,2,F,1,Rhynochetidae
159,1,3,F,1,Rhynochetidae
160,1,2,F,1,Eurypygidae
161,3,3,F,1,Eurypygidae
162,12,2,F,2,Sarothruridae
163,21,3,F,2,Sarothruridae
164,3,2,F,3,Heliornithidae
165,6,3,F,3,Heliornithidae
166,155,2,F,40,Rallidae
167,301,3,F,40,Rallidae
168,3,2,F,1,Psophiidae
169,7,3,F,1,Psophiidae
170,15,2,F,4,Gruidae
171,23,3,F,4,Gruidae
172,1,2,F,1,Aramidae
173,4,3,F,1,Aramidae
174,17,2,F,2,Turnicidae
175,57,3,F,2,Turnicidae
176,10,2,F,2,Burhinidae
177,21,3,F,2,Burhinidae
178,2,2,F,1,Chionidae
179,5,3,F,1,Chionidae
180,1,2,F,1,Pluvianellidae
181,1,3,F,1,Pluvianellidae
182,12,2,F,1,Haematopodidae
183,17,3,F,1,Haematopodidae
184,1,2,F,1,Dromadidae
185,1,3,F,1,Dromadidae
186,1,2,F,1,Ibidorhynchidae
187,1,3,F,1,Ibidorhynchidae
188,10,2,F,3,Recurvirostridae
189,11,3,F,3,Recurvirostridae
190,67,2,F,11,Charadriidae
191,110,3,F,11,Charadriidae
192,1,2,F,1,Pluvianidae
193,1,3,F,1,Pluvianidae
194,3,2,F,2,Rostratulidae
195,3,3,F,2,Rostratulidae
196,8,2,F,6,Jacanidae
197,13,3,F,6,Jacanidae
198,1,2,F,1,Pedionomidae
199,1,3,F,1,Pedionomidae
200,4,2,F,2,Thinocoridae
201,9,3,F,2,Thinocoridae
202,96,2,F,15,Scolopacidae
203,149,3,F,15,Scolopacidae
204,17,2,F,4,Glareolidae
205,35,3,F,4,Glareolidae
206,100,2,F,22,Laridae
207,191,3,F,22,Laridae
208,7,2,F,1,Stercorariidae
209,10,3,F,1,Stercorariidae
210,25,2,F,11,Alcidae
211,44,3,F,11,Alcidae
212,16,2,F,2,Pteroclidae
213,36,3,F,2,Pteroclidae
214,344,2,F,49,Columbidae
215,764,3,F,49,Columbidae
216,1,2,F,1,Opisthocomidae
217,1,3,F,1,Opisthocomidae
218,23,2,F,6,Musophagidae
219,38,3,F,6,Musophagidae
220,149,2,F,33,Cuculidae
221,291,3,F,33,Cuculidae
222,20,2,F,2,Tytonidae
223,63,3,F,2,Tytonidae
224,226,2,F,26,Strigidae
225,564,3,F,26,Strigidae
226,16,2,F,3,Podargidae
227,28,3,F,3,Podargidae
228,1,2,F,1,Steatornithidae
229,1,3,F,1,Steatornithidae
230,7,2,F,1,Nyctibiidae
231,14,3,F,1,Nyctibiidae
232,98,2,F,20,Caprimulgidae
233,221,3,F,20,Caprimulgidae
234,9,2,F,1,Aegothelidae
235,13,3,F,1,Aegothelidae
236,4,2,F,1,Hemiprocnidae
237,13,3,F,1,Hemiprocnidae
238,113,2,F,19,Apodidae
239,275,3,F,19,Apodidae
240,357,2,F,106,Trochilidae
241,712,3,F,106,Trochilidae
242,6,2,F,2,Coliidae
243,33,3,F,2,Coliidae
244,43,2,F,7,Trogonidae
245,109,3,F,7,Trogonidae
246,1,2,F,1,Leptosomidae
247,3,3,F,1,Leptosomidae
248,12,2,F,2,Coraciidae
249,30,3,F,2,Coraciidae
250,5,2,F,4,Brachypteraciidae
251,5,3,F,4,Brachypteraciidae
252,114,2,F,19,Alcedinidae
253,316,3,F,19,Alcedinidae
254,5,2,F,1,Todidae
255,5,3,F,1,Todidae
256,14,2,F,6,Momotidae
257,45,3,F,6,Momotidae
258,27,2,F,3,Meropidae
259,52,3,F,3,Meropidae
260,4,2,F,1,Upupidae
261,9,3,F,1,Upupidae
262,9,2,F,2,Phoeniculidae
263,24,3,F,2,Phoeniculidae
264,2,2,F,1,Bucorvidae
265,2,3,F,1,Bucorvidae
266,59,2,F,15,Bucerotidae
267,79,3,F,15,Bucerotidae
268,18,2,F,5,Galbulidae
269,37,3,F,5,Galbulidae
270,38,2,F,10,Bucconidae
271,74,3,F,10,Bucconidae
272,15,2,F,2,Capitonidae
273,35,3,F,2,Capitonidae
274,2,2,F,1,Semnornithidae
275,3,3,F,1,Semnornithidae
276,43,2,F,5,Ramphastidae
277,78,3,F,5,Ramphastidae
278,34,2,F,2,Megalaimidae
279,71,3,F,2,Megalaimidae
280,42,2,F,7,Lybiidae
281,111,3,F,7,Lybiidae
282,17,2,F,4,Indicatoridae
283,33,3,F,4,Indicatoridae
284,236,2,F,35,Picidae
285,701,3,F,35,Picidae
286,67,2,F,11,Falconidae
287,153,3,F,11,Falconidae
288,4,2,F,2,Strigopidae
289,5,3,F,2,Strigopidae
290,21,2,F,7,Cacatuidae
291,46,3,F,7,Cacatuidae
292,181,2,F,37,Psittacidae
293,322,3,F,37,Psittacidae
294,192,2,F,48,Psittaculidae
295,396,3,F,48,Psittaculidae
296,4,2,F,3,Acanthisittidae
297,7,3,F,3,Acanthisittidae
298,1,2,F,1,Sapayoidae
299,1,3,F,1,Sapayoidae
300,19,2,F,11,Eurylaimidae
301,51,3,F,11,Eurylaimidae
302,42,2,F,3,Pittidae
303,92,3,F,3,Pittidae
304,314,2,F,69,Furnariidae
305,862,3,F,69,Furnariidae
306,237,2,F,62,Thamnophilidae
307,532,3,F,62,Thamnophilidae
308,12,2,F,2,Formicariidae
309,45,3,F,2,Formicariidae
310,55,2,F,4,Grallariidae
311,129,3,F,4,Grallariidae
312,11,2,F,2,Conopophagidae
313,26,3,F,2,Conopophagidae
314,60,2,F,12,Rhinocryptidae
315,78,3,F,12,Rhinocryptidae
316,5,2,F,1,Melanopareiidae
317,9,3,F,1,Melanopareiidae
318,436,2,F,103,Tyrannidae
319,994,3,F,103,Tyrannidae
320,66,2,F,25,Cotingidae
321,92,3,F,25,Cotingidae
322,53,2,F,17,Pipridae
323,120,3,F,17,Pipridae
324,45,2,F,11,Tityridae
325,138,3,F,11,Tityridae
326,2,2,F,1,Menuridae
327,4,3,F,1,Menuridae
328,2,2,F,1,Atrichornithidae
329,3,3,F,1,Atrichornithidae
330,27,2,F,8,Ptilonorhynchidae
331,39,3,F,8,Ptilonorhynchidae
332,7,2,F,2,Climacteridae
333,16,3,F,2,Climacteridae
334,30,2,F,6,Maluridae
335,72,3,F,6,Maluridae
336,188,2,F,50,Meliphagidae
337,352,3,F,50,Meliphagidae
338,3,2,F,1,Dasyornithidae
339,6,3,F,1,Dasyornithidae
340,4,2,F,1,Pardalotidae
341,12,3,F,1,Pardalotidae
342,66,2,F,15,Acanthizidae
343,187,3,F,15,Acanthizidae
344,5,2,F,2,Pomatostomidae
345,9,3,F,2,Pomatostomidae
346,3,2,F,1,Orthonychidae
347,5,3,F,1,Orthonychidae
348,3,2,F,2,Cnemophilidae
349,5,3,F,2,Cnemophilidae
350,10,2,F,4,Melanocharitidae
351,23,3,F,4,Melanocharitidae
352,2,2,F,2,Paramythiidae
353,3,3,F,2,Paramythiidae
354,5,2,F,3,Callaeidae
355,5,3,F,3,Callaeidae
356,1,2,F,1,Notiomystidae
357,2,3,F,1,Notiomystidae
358,18,2,F,4,Psophodidae
359,41,3,F,4,Psophodidae
360,31,2,F,3,Platysteiridae
361,53,3,F,3,Platysteiridae
